[2025-07-03 16:12:05] High Memory usage: 186.14MB | PID: 17784 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 186.14MB | Parent: Code.exe
[2025-07-03 16:12:05] High Memory usage: 115.32MB | PID: 7924 | Name: ChatGPT.exe | Path: C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.153.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe | CPU: 0.00% | Memory: 115.32MB | Parent: explorer.exe
[2025-07-03 16:12:05] High Memory usage: 307.60MB | PID: 8080 | Name: explorer.exe | Path: C:\Windows\explorer.exe | CPU: 0.00% | Memory: 307.60MB | Parent: Zombie
[2025-07-03 16:12:06] High Memory usage: 123.39MB | PID: 8928 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 0.00% | Memory: 123.39MB | Parent: chrome.exe
[2025-07-03 16:12:07] High Memory usage: 114.54MB | PID: 10096 | Name: msedgewebview2.exe | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\137.0.3296.93\msedgewebview2.exe | CPU: 0.00% | Memory: 114.54MB | Parent: msedgewebview2.exe
[2025-07-03 16:12:07] High CPU usage: 867.60% | PID: 0 | Name: System Idle Process | Path: Access Denied | CPU: 867.60% | Memory: 0.01MB | Parent: Unknown
[2025-07-03 16:12:08] High Memory usage: 120.77MB | PID: 11216 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 120.77MB | Parent: Code.exe
[2025-07-03 16:12:09] High Memory usage: 107.60MB | PID: 11776 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 107.60MB | Parent: Code.exe
[2025-07-03 16:12:09] High Memory usage: 319.06MB | PID: 11940 | Name: ChatGPT.exe | Path: C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.153.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe | CPU: 0.00% | Memory: 319.06MB | Parent: ChatGPT.exe
[2025-07-03 16:12:10] High Memory usage: 219.00MB | PID: 12328 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 219.00MB | Parent: Code.exe
[2025-07-03 16:12:10] High CPU usage: 62.40% | PID: 12848 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 62.40% | Memory: 152.41MB | Parent: Code.exe
[2025-07-03 16:12:10] High Memory usage: 152.41MB | PID: 12848 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 62.40% | Memory: 152.41MB | Parent: Code.exe
[2025-07-03 16:12:12] High Memory usage: 274.15MB | PID: 14768 | Name: Grammarly.Desktop.exe | Path: C:\Users\syeda\AppData\Local\Grammarly\DesktopIntegrations\Grammarly.Desktop.exe | CPU: 0.00% | Memory: 274.15MB | Parent: explorer.exe
[2025-07-03 16:12:12] Suspicious parent-child chain: cmd.exe -> conhost.exe | PID: 15140 | Name: conhost.exe | Path: C:\Windows\System32\conhost.exe | CPU: 0.00% | Memory: 22.71MB | Parent: cmd.exe
[2025-07-03 16:12:13] High Memory usage: 199.09MB | PID: 16000 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 0.00% | Memory: 199.09MB | Parent: explorer.exe
